"data","value"
"2012-01-01",1.8554777777777778
"2012-01-02",1.8708
"2012-01-03",1.8304
"2012-01-04",1.8323
"2012-01-05",1.8437
"2012-01-06",1.8579
"2012-01-07",1.827611111111111
"2012-01-08",1.8180666666666667
"2012-01-09",1.8329
"2012-01-10",1.7995
"2012-01-11",1.803
"2012-01-12",1.778
"2012-01-13",1.7849
"2012-01-14",1.7891777777777778
"2012-01-15",1.7805
"2012-01-16",1.7859
"2012-01-17",1.788
"2012-01-18",1.7649
"2012-01-19",1.7655
"2012-01-20",1.7548
"2012-01-21",1.7648666666666668
"2012-01-22",1.7594777777777777
"2012-01-23",1.7552
"2012-01-24",1.7585
"2012-01-25",1.7605
"2012-01-26",1.7505
"2012-01-27",1.7374
"2012-01-28",1.7458888888888888
"2012-01-29",1.7415444444444443
"2012-01-30",1.75
"2012-01-31",1.7472
"2012-02-01",1.7342
"2012-02-02",1.7195
"2012-02-03",1.7161
"2012-02-04",1.728588888888889
"2012-02-05",1.7253444444444443
"2012-02-06",1.7266
"2012-02-07",1.726
"2012-02-08",1.7214
"2012-02-09",1.7163
"2012-02-10",1.7208
"2012-02-11",1.7215666666666667
"2012-02-12",1.7202777777777778
"2012-02-13",1.7165
"2012-02-14",1.7211
"2012-02-15",1.7289
"2012-02-16",1.7165
"2012-02-17",1.715
"2012-02-18",1.7170444444444444
"2012-02-19",1.7162555555555554
"2012-02-20",1.7178
"2012-02-21",1.7175
"2012-02-22",1.7064
"2012-02-23",1.7137
"2012-02-24",1.7094
"2012-02-25",1.7109666666666667
"2012-02-26",1.7124444444444444
"2012-02-27",1.7077
"2012-02-28",1.695
"2012-02-29",1.7174
"2012-03-01",1.7138
"2012-03-02",1.7311
"2012-03-03",1.732277777777778
"2012-03-04",1.741577777777778
"2012-03-05",1.7394
"2012-03-06",1.7584
"2012-03-07",1.7665
"2012-03-08",1.7612
"2012-03-09",1.7914
"2012-03-10",1.7792777777777777
"2012-03-11",1.786044444444444
"2012-03-12",1.7995
"2012-03-13",1.7926
"2012-03-14",1.8054
"2012-03-15",1.7991
"2012-03-16",1.8003
"2012-03-17",1.8083666666666665
"2012-03-18",1.8096
"2012-03-19",1.8215
"2012-03-20",1.8144
"2012-03-21",1.8226
"2012-03-22",1.8199
"2012-03-23",1.8106
"2012-03-24",1.8193111111111107
"2012-03-25",1.8198555555555558
"2012-03-26",1.8175
"2012-03-27",1.8219
"2012-03-28",1.823
"2012-03-29",1.8224
"2012-03-30",1.8264
"2012-03-31",1.8241444444444446
"2012-04-01",1.8245777777777776
"2012-04-02",1.8329
"2012-04-03",1.8255
"2012-04-04",1.8263
"2012-04-05",1.8214
"2012-04-06",1.8214
"2012-04-07",1.8268333333333335
"2012-04-08",1.8273111111111109
"2012-04-09",1.8173
"2012-04-10",1.8337
"2012-04-11",1.8358
"2012-04-12",1.8272
"2012-04-13",1.8372
"2012-04-14",1.8466444444444443
"2012-04-15",1.8527666666666667
"2012-04-16",1.8478
"2012-04-17",1.8612
"2012-04-18",1.879
"2012-04-19",1.8806
"2012-04-20",1.8724
"2012-04-21",1.8741777777777777
"2012-04-22",1.8784333333333332
"2012-04-23",1.8802
"2012-04-24",1.8821
"2012-04-25",1.8788
"2012-04-26",1.8855
"2012-04-27",1.8861
"2012-04-28",1.8954444444444445
"2012-04-29",1.9007
"2012-04-30",1.9088
"2012-05-01",1.9047
"2012-05-02",1.9243
"2012-05-03",1.9085
"2012-05-04",1.9275
"2012-05-05",1.9285888888888891
"2012-05-06",1.9349444444444446
"2012-05-07",1.9194
"2012-05-08",1.9397
"2012-05-09",1.9715
"2012-05-10",1.9529
"2012-05-11",1.966
"2012-05-12",1.972888888888889
"2012-05-13",1.984477777777778
"2012-05-14",1.9951
"2012-05-15",2.0017
"2012-05-16",2.0005
"2012-05-17",2.0092
"2012-05-18",2.0237
"2012-05-19",2.024633333333333
"2012-05-20",2.0234666666666663
"2012-05-21",2.0417
"2012-05-22",2.0907
"2012-05-23",2.0309
"2012-05-24",2.0282
"2012-05-25",1.9846
"2012-05-26",2.0208222222222223
"2012-05-27",2.020633333333333
"2012-05-28",1.9832
"2012-05-29",1.9895
"2012-05-30",2.016
"2012-05-31",2.0226
"2012-06-01",2.04
"2012-06-02",2.021966666666667
"2012-06-03",2.0262000000000002
"2012-06-04",2.056
"2012-06-05",2.0248
"2012-06-06",2.0328
"2012-06-07",2.0328
"2012-06-08",2.0213
"2012-06-09",2.047788888888889
"2012-06-10",2.0469444444444442
"2012-06-11",2.0652
"2012-06-12",2.0684
"2012-06-13",2.0719
"2012-06-14",2.0569
"2012-06-15",2.0484
"2012-06-16",2.054611111111111
"2012-06-17",2.0548666666666664
"2012-06-18",2.0641
"2012-06-19",2.0279
"2012-06-20",2.0256
"2012-06-21",2.0631
"2012-06-22",2.0675
"2012-06-23",2.0594222222222225
"2012-06-24",2.0533555555555556
"2012-06-25",2.0613
"2012-06-26",2.0724
"2012-06-27",2.0764
"2012-06-28",2.0765
"2012-06-29",2.0095
"2012-06-30",2.038211111111111
"2012-07-01",2.034522222222222
"2012-07-02",1.9849
"2012-07-03",2.0156
"2012-07-04",2.0279
"2012-07-05",2.0194
"2012-07-06",2.0281
"2012-07-07",2.0237000000000003
"2012-07-08",2.029488888888889
"2012-07-09",2.0323
"2012-07-10",2.0333
"2012-07-11",2.0345
"2012-07-12",2.0373
"2012-07-13",2.037
"2012-07-14",2.0295888888888887
"2012-07-15",2.0286222222222228
"2012-07-16",2.0347
"2012-07-17",2.022
"2012-07-18",2.0227
"2012-07-19",2.0125
"2012-07-20",2.0236
"2012-07-21",2.0284999999999997
"2012-07-22",2.027
"2012-07-23",2.0389
"2012-07-24",2.0477
"2012-07-25",2.0331
"2012-07-26",2.0213
"2012-07-27",2.0212
"2012-07-28",2.039266666666667
"2012-07-29",2.0380777777777777
"2012-07-30",2.0405
"2012-07-31",2.0567
"2012-08-01",2.0443
"2012-08-02",2.0497
"2012-08-03",2.0282
"2012-08-04",2.034733333333333
"2012-08-05",2.031888888888889
"2012-08-06",2.0312
"2012-08-07",2.0285
"2012-08-08",2.0205
"2012-08-09",2.013
"2012-08-10",2.0149
"2012-08-11",2.0216000000000003
"2012-08-12",2.0198555555555555
"2012-08-13",2.0204
"2012-08-14",2.0266
"2012-08-15",2.0225
"2012-08-16",2.0168
"2012-08-17",2.0155
"2012-08-18",2.0193999999999996
"2012-08-19",2.020144444444445
"2012-08-20",2.0168
"2012-08-21",2.0158
"2012-08-22",2.0165
"2012-08-23",2.0237
"2012-08-24",2.0271
"2012-08-25",2.0307666666666666
"2012-08-26",2.0321555555555557
"2012-08-27",2.0342
"2012-08-28",2.044
"2012-08-29",2.05
"2012-08-30",2.0488
"2012-08-31",2.0293
"2012-09-01",2.0388222222222216
"2012-09-02",2.038144444444444
"2012-09-03",2.033
"2012-09-04",2.0427
"2012-09-05",2.0393
"2012-09-06",2.0281
"2012-09-07",2.0281
"2012-09-08",2.0287222222222225
"2012-09-09",2.026377777777778
"2012-09-10",2.0224
"2012-09-11",2.0167
"2012-09-12",2.0271
"2012-09-13",2.0211
"2012-09-14",2.0119
"2012-09-15",2.0222999999999995
"2012-09-16",2.022311111111111
"2012-09-17",2.0329
"2012-09-18",2.0231
"2012-09-19",2.0242
"2012-09-20",2.0213
"2012-09-21",2.0225
"2012-09-22",2.0274888888888887
"2012-09-23",2.026688888888889
"2012-09-24",2.0264
"2012-09-25",2.0315
"2012-09-26",2.0362
"2012-09-27",2.0293
"2012-09-28",2.0257
"2012-09-29",2.026766666666667
"2012-09-30",2.027277777777778
"2012-10-01",2.0264
"2012-10-02",2.0257
"2012-10-03",2.022
"2012-10-04",2.0177
"2012-10-05",2.031
"2012-10-06",2.0304
"2012-10-07",2.032411111111111
"2012-10-08",2.0297
"2012-10-09",2.0362
"2012-10-10",2.0426
"2012-10-11",2.0423
"2012-10-12",2.0445
"2012-10-13",2.0358777777777775
"2012-10-14",2.0356555555555556
"2012-10-15",2.0363
"2012-10-16",2.033
"2012-10-17",2.032
"2012-10-18",2.0263
"2012-10-19",2.0277
"2012-10-20",2.0285444444444445
"2012-10-21",2.0275111111111115
"2012-10-22",2.0242
"2012-10-23",2.027
"2012-10-24",2.0252
"2012-10-25",2.0252
"2012-10-26",2.027
"2012-10-27",2.0282999999999998
"2012-10-28",2.029122222222222
"2012-10-29",2.0335
"2012-10-30",2.0307
"2012-10-31",2.0309
"2012-11-01",2.031
"2012-11-02",2.0316
"2012-11-03",2.033244444444444
"2012-11-04",2.034666666666667
"2012-11-05",2.0353
"2012-11-06",2.0321
"2012-11-07",2.0337
"2012-11-08",2.0404
"2012-11-09",2.0463
"2012-11-10",2.0478333333333336
"2012-11-11",2.053266666666667
"2012-11-12",2.051
"2012-11-13",2.0583
"2012-11-14",2.0669
"2012-11-15",2.0665
"2012-11-16",2.0842
"2012-11-17",2.0763555555555557
"2012-11-18",2.079755555555556
"2012-11-19",2.0762
"2012-11-20",2.0805
"2012-11-21",2.0988
"2012-11-22",2.1048
"2012-11-23",2.0816
"2012-11-24",2.0889555555555557
"2012-11-25",2.0956111111111113
"2012-11-26",2.083
"2012-11-27",2.0842
"2012-11-28",2.0928
"2012-11-29",2.0987
"2012-11-30",2.1361
"2012-12-01",2.0998888888888887
"2012-12-02",2.0989666666666666
"2012-12-03",2.1193
"2012-12-04",2.1197
"2012-12-05",2.0878
"2012-12-06",2.0774
"2012-12-07",2.0747
"2012-12-08",2.0879555555555553
"2012-12-09",2.0842111111111112
"2012-12-10",2.0768
"2012-12-11",2.0787
"2012-12-12",2.072
"2012-12-13",2.0852
"2012-12-14",2.0856
"2012-12-15",2.080866666666667
"2012-12-16",2.081033333333333
"2012-12-17",2.0995
"2012-12-18",2.089
"2012-12-19",2.0716
"2012-12-20",2.0694
"2012-12-21",2.0783
"2012-12-22",2.0729888888888888
"2012-12-23",2.0672111111111113
"2012-12-24",2.0783
"2012-12-25",2.0783
"2012-12-26",2.0491
"2012-12-27",2.0434
"2012-12-28",2.0475
"2012-12-29",2.0538555555555558
"2012-12-30",2.0490111111111116
"2012-12-31",2.0485
"2013-01-01",2.0485
"2013-01-02",2.0452
"2013-01-03",2.0459
"2013-01-04",2.0347
"2013-01-05",2.039788888888889
"2013-01-06",2.038088888888889
"2013-01-07",2.0267
"2013-01-08",2.0415
"2013-01-09",2.0381
"2013-01-10",2.029
"2013-01-11",2.0332
"2013-01-12",2.035222222222222
"2013-01-13",2.036788888888889
"2013-01-14",2.0318
"2013-01-15",2.0358
"2013-01-16",2.0424
"2013-01-17",2.0385
"2013-01-18",2.0408
"2013-01-19",2.0377111111111117
"2013-01-20",2.0375111111111113
"2013-01-21",2.0418
"2013-01-22",2.0429
"2013-01-23",2.0354
"2013-01-24",2.03
"2013-01-25",2.03
"2013-01-26",2.016
"2013-01-27",2.01
"2013-01-28",1.9958
"2013-01-29",1.9859
"2013-01-30",1.9914
"2013-01-31",1.9908
"2013-02-01",1.9878
"2013-02-02",1.987688888888889
"2013-02-03",1.9851777777777775
"2013-02-04",1.996
"2013-02-05",1.9845
"2013-02-06",1.9903
"2013-02-07",1.9667
"2013-02-08",1.9732
