"row ID","aggregatedTimestamp","Mean(Último)"
"Row3","1994-07-01",0.9281964285714286
"Row4","1994-08-01",0.8969999999999999
"Row5","1994-09-01",0.8650333333333333
"Row0","1994-10-01",0.8445967741935486
"Row1","1994-11-01",0.8411500000000001
"Row2","1994-12-01",0.8491881720430109
"Row6","1995-01-01",0.8453763440860218
"Row10","1995-02-01",0.8405357142857139
"Row11","1995-03-01",0.8898870967741935
"Row12","1995-04-01",0.9068666666666667
"Row13","1995-05-01",0.896467741935484
"Row14","1995-06-01",0.9119700000000002
"Row15","1995-07-01",0.9278000000000001
"Row16","1995-08-01",0.9408612903225809
"Row17","1995-09-01",0.9515011111111114
"Row7","1995-10-01",0.9592602150537635
"Row8","1995-11-01",0.9625799999999999
"Row9","1995-12-01",0.9677637096774192
"Row18","1996-01-01",0.9740379032258062
"Row22","1996-02-01",0.9811827586206895
"Row23","1996-03-01",0.9856016129032259
"Row24","1996-04-01",0.9895699999999996
"Row25","1996-05-01",0.9947806451612904
"Row26","1996-06-01",1.0008533333333336
"Row27","1996-07-01",1.0067193548387094
"Row28","1996-08-01",1.012967741935484
"Row29","1996-09-01",1.0189233333333332
"Row19","1996-10-01",1.024883870967742
"Row20","1996-11-01",1.029842222222222
"Row21","1996-12-01",1.0370752688172045
"Row30","1997-01-01",1.0421451612903223
"Row34","1997-02-01",1.0484214285714282
"Row35","1997-03-01",1.0571548387096774
"Row36","1997-04-01",1.0605633333333329
"Row37","1997-05-01",1.0681365591397851
"Row38","1997-06-01",1.0742022222222216
"Row39","1997-07-01",1.0802225806451613
"Row40","1997-08-01",1.0880322580645163
"Row41","1997-09-01",1.0931700000000004
"Row31","1997-10-01",1.0995290322580644
"Row32","1997-11-01",1.1065066666666663
"Row33","1997-12-01",1.1132096774193547
"Row42","1998-01-01",1.119162365591398
"Row46","1998-02-01",1.1268880952380953
"Row47","1998-03-01",1.133251612903226
"Row48","1998-04-01",1.1407066666666663
"Row49","1998-05-01",1.1477161290322573
"Row50","1998-06-01",1.1541099999999997
"Row51","1998-07-01",1.1613935483870963
"Row52","1998-08-01",1.171461290322581
"Row53","1998-09-01",1.1805466666666664
"Row43","1998-10-01",1.187835483870968
"Row44","1998-11-01",1.19343
"Row45","1998-12-01",1.2050387096774193
"Row54","1999-01-01",1.5077903225806453
"Row58","1999-02-01",1.9207142857142854
"Row59","1999-03-01",1.8901612903225808
"Row60","1999-04-01",1.6987166666666664
"Row61","1999-05-01",1.6833225806451608
"Row62","1999-06-01",1.7645666666666666
"Row63","1999-07-01",1.800543010752688
"Row64","1999-08-01",1.8803602150537637
"Row65","1999-09-01",1.8985333333333339
"Row55","1999-10-01",1.9649516129032256
"Row56","1999-11-01",1.929983333333333
"Row57","1999-12-01",1.8428709677419355
"Row66","2000-01-01",1.8018387096774195
"Row70","2000-02-01",1.7748620689655168
"Row71","2000-03-01",1.7421774193548396
"Row72","2000-04-01",1.7699000000000005
"Row73","2000-05-01",1.826774193548387
"Row74","2000-06-01",1.8081833333333328
"Row75","2000-07-01",1.7967258064516125
"Row76","2000-08-01",1.8095161290322586
"Row77","2000-09-01",1.8368388888888887
"Row67","2000-10-01",1.8790591397849459
"Row68","2000-11-01",1.9490333333333334
"Row69","2000-12-01",1.9619314516129032
"Row78","2001-01-01",1.9557927419354837
"Row82","2001-02-01",2.0069035714285706
"Row83","2001-03-01",2.0936182795698923
"Row84","2001-04-01",2.193171111111112
"Row85","2001-05-01",2.2927096774193556
"Row86","2001-06-01",2.374338888888888
"Row87","2001-07-01",2.465688172043011
"Row88","2001-08-01",2.5112258064516126
"Row89","2001-09-01",2.6613999999999995
"Row79","2001-10-01",2.7420161290322578
"Row80","2001-11-01",2.5435166666666666
"Row81","2001-12-01",2.3630645161290325
"Row90","2002-01-01",2.376854838709678
"Row94","2002-02-01",2.423142857142858
"Row95","2002-03-01",2.3434354838709686
"Row96","2002-04-01",2.321283333333334
"Row97","2002-05-01",2.477258064516129
"Row98","2002-06-01",2.7128666666666663
"Row99","2002-07-01",2.941629032258064
"Row100","2002-08-01",3.094510752688171
"Row101","2002-09-01",3.352738888888889
"Row91","2002-10-01",3.7918064516129024
"Row92","2002-11-01",3.5861944444444442
"Row93","2002-12-01",3.624715053763441
"Row102","2003-01-01",3.4373225806451613
"Row106","2003-02-01",3.5900535714285713
"Row107","2003-03-01",3.4505967741935475
"Row108","2003-04-01",3.1000500000000004
"Row109","2003-05-01",2.9614408602150544
"Row110","2003-06-01",2.8782777777777775
"Row111","2003-07-01",2.8803709677419347
"Row112","2003-08-01",3.0017096774193552
"Row113","2003-09-01",2.9189666666666665
"Row103","2003-10-01",2.8581129032258055
"Row104","2003-11-01",2.9111333333333342
"Row105","2003-12-01",2.9215645161290333
"Row114","2004-01-01",2.851424193548387
"Row118","2004-02-01",2.927862068965518
"Row119","2004-03-01",2.90374193548387
"Row120","2004-04-01",2.9030833333333335
"Row121","2004-05-01",3.1027096774193548
"Row122","2004-06-01",3.128193333333333
"Row123","2004-07-01",3.0373870967741925
"Row124","2004-08-01",2.9995322580645163
"Row125","2004-09-01",2.8914500000000003
"Row115","2004-10-01",2.851077419354839
"Row116","2004-11-01",2.78805
"Row117","2004-12-01",2.7160354838709684
"Row126","2005-01-01",2.688019354838709
"Row130","2005-02-01",2.5977678571428564
"Row131","2005-03-01",2.7104903225806454
"Row132","2005-04-01",2.5791488888888887
"Row133","2005-05-01",2.4461526881720435
"Row134","2005-06-01",2.4127900000000007
"Row135","2005-07-01",2.3744516129032256
