"Último","aggregatedTimestamp"
0.9205277777777777,"1994-07-04"
0.9235476190476188,"1994-07-10"
0.9323809523809522,"1994-07-17"
0.934952380952381,"1994-07-24"
0.9160238095238096,"1994-07-31"
0.8993333333333334,"1994-08-07"
0.8947142857142857,"1994-08-14"
0.8876190476190476,"1994-08-21"
0.8870476190476189,"1994-08-28"
0.878095238095238,"1994-09-04"
0.8555238095238095,"1994-09-11"
0.855904761904762,"1994-09-18"
0.8601904761904762,"1994-09-25"
0.8457380952380953,"1994-10-02"
0.8324047619047619,"1994-10-09"
0.848547619047619,"1994-10-16"
0.8503809523809525,"1994-10-23"
0.8431190476190477,"1994-10-30"
0.8348571428571429,"1994-11-06"
0.8334285714285714,"1994-11-13"
0.8476428571428571,"1994-11-20"
0.8535238095238096,"1994-11-27"
0.8464047619047618,"1994-12-04"
0.8456190476190475,"1994-12-11"
0.8529285714285715,"1994-12-18"
0.8495238095238095,"1994-12-25"
0.85880625,"1995-01-01"
0.8460476190476189,"1995-01-08"
0.8467857142857143,"1995-01-15"
0.8473333333333335,"1995-01-22"
0.8402857142857143,"1995-01-29"
0.8349285714285714,"1995-02-05"
0.8379761904761905,"1995-02-12"
0.845547619047619,"1995-02-19"
0.8537857142857143,"1995-02-26"
0.881595238095238,"1995-03-05"
0.8889999999999998,"1995-03-12"
0.9054523809523809,"1995-03-19"
0.9042857142857142,"1995-03-26"
0.8974761904761905,"1995-04-02"
0.9029761904761905,"1995-04-09"
0.9091904761904762,"1995-04-16"
0.9171666666666667,"1995-04-23"
0.9064285714285715,"1995-04-30"
0.8958571428571428,"1995-05-07"
0.8891190476190475,"1995-05-14"
0.8929999999999999,"1995-05-21"
0.9040476190476191,"1995-05-28"
0.9087142857142857,"1995-06-04"
0.9094523809523809,"1995-06-11"
0.9158809523809524,"1995-06-18"
0.9183190476190477,"1995-06-25"
0.9217190476190478,"1995-07-02"
0.9245142857142858,"1995-07-09"
0.9292571428571428,"1995-07-16"
0.9348190476190475,"1995-07-23"
0.9350238095238095,"1995-07-30"
0.9352714285714284,"1995-08-06"
0.9408380952380951,"1995-08-13"
0.9448428571428571,"1995-08-20"
0.9491428571428572,"1995-08-27"
0.948952380952381,"1995-09-03"
0.9514571428571428,"1995-09-10"
0.9524999999999999,"1995-09-17"
0.9536952380952378,"1995-09-24"
0.9579095238095237,"1995-10-01"
0.9579619047619047,"1995-10-08"
0.9592238095238095,"1995-10-15"
0.9611333333333333,"1995-10-22"
0.9614809523809524,"1995-10-29"
0.9610666666666665,"1995-11-05"
0.9618714285714286,"1995-11-12"
0.9637285714285713,"1995-11-19"
0.9651190476190475,"1995-11-26"
0.966,"1995-12-03"
0.9665857142857143,"1995-12-10"
0.9679142857142856,"1995-12-17"
0.9704607142857143,"1995-12-24"
0.9943638888888888,"1996-01-01"
0.9723047619047618,"1996-01-07"
0.9726523809523809,"1996-01-14"
0.9764999999999999,"1996-01-21"
0.9779999999999999,"1996-01-28"
0.9779999999999999,"1996-02-04"
0.9818857142857141,"1996-02-11"
0.9830000000000001,"1996-02-18"
0.9838000000000001,"1996-02-25"
0.9831333333333335,"1996-03-03"
0.9854095238095237,"1996-03-10"
0.9867928571428571,"1996-03-17"
0.9874904761904761,"1996-03-24"
0.986947619047619,"1996-03-31"
0.9892333333333333,"1996-04-07"
0.9896238095238095,"1996-04-14"
0.9911952380952381,"1996-04-21"
0.9919380952380952,"1996-04-28"
0.9931380952380952,"1996-05-05"
0.9957761904761905,"1996-05-12"
0.9954238095238095,"1996-05-19"
0.9968476190476189,"1996-05-26"
0.9982999999999999,"1996-06-02"
1.000142857142857,"1996-06-09"
1.0016761904761904,"1996-06-16"
1.0032142857142858,"1996-06-23"
1.0043047619047618,"1996-06-30"
1.004904761904762,"1996-07-07"
1.0065380952380951,"1996-07-14"
1.008247619047619,"1996-07-21"
1.010447619047619,"1996-07-28"
1.0108047619047622,"1996-08-04"
1.0124857142857144,"1996-08-11"
1.0143,"1996-08-18"
1.0157333333333334,"1996-08-25"
1.0171047619047617,"1996-09-01"
1.0189,"1996-09-08"
1.0190571428571427,"1996-09-15"
1.0200142857142855,"1996-09-22"
1.0213142857142856,"1996-09-29"
1.0238809523809524,"1996-10-06"
1.0247047619047618,"1996-10-13"
1.0262857142857142,"1996-10-20"
1.0279476190476189,"1996-10-27"
1.0283142857142857,"1996-11-03"
1.0297809523809525,"1996-11-10"
1.030095238095238,"1996-11-17"
1.0317952380952382,"1996-11-24"
1.0335619047619047,"1996-12-01"
1.0369285714285712,"1996-12-08"
1.038295238095238,"1996-12-15"
1.0387904761904758,"1996-12-22"
1.0772416666666664,"1997-01-01"
1.0406333333333333,"1997-01-05"
1.0422666666666667,"1997-01-12"
1.0430428571428574,"1997-01-19"
1.0447857142857142,"1997-01-26"
1.0463047619047616,"1997-02-02"
1.0478857142857143,"1997-02-09"
1.049609523809524,"1997-02-16"
1.0506761904761903,"1997-02-23"
1.0519285714285715,"1997-03-02"
1.0557476190476192,"1997-03-09"
1.0607333333333333,"1997-03-16"
1.0601190476190476,"1997-03-23"
1.0591428571428572,"1997-03-30"
1.0585333333333333,"1997-04-06"
1.0607857142857142,"1997-04-13"
1.0624380952380952,"1997-04-20"
1.063361904761905,"1997-04-27"
1.0649190476190475,"1997-05-04"
1.0671619047619048,"1997-05-11"
1.0697476190476192,"1997-05-18"
1.0725142857142858,"1997-05-25"
1.0714571428571429,"1997-06-01"
1.0732238095238094,"1997-06-08"
1.0748095238095237,"1997-06-15"
1.0766666666666669,"1997-06-22"
